City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,coronel dorrego,-38.7187,-61.2873,15.39,69,100,1.02,AR,1684979886
314,tsiombe,-25.3,45.4833,16.45,68,3,2.46,MG,1684979886
315,douz,33.4663,9.0203,20.09,72,0,3.69,TN,1684979887
316,kuusamo,65.9667,29.1833,9.02,93,0,0.51,FI,1684979887
317,fonte boa,-2.4959,-66.2662,23.43,98,100,1.22,BR,1684979887
318,carloforte,39.145,8.3058,17.2,78,92,1.72,IT,1684979888
319,haiku-pauwela,20.9219,-156.3051,28.01,66,40,11.32,US,1684979888
320,saint-francois,46.4154,3.9054,6.69,87,0,0.0,FR,1684979749
321,hilton head island,32.2163,-80.7526,23.06,79,0,0.0,US,1684979888
322,marang,5.2056,103.2059,30.54,78,100,1.52,MY,1684979888
323,kanniyakumari,8.0833,77.5667,28.98,77,7,6.36,IN,1684979889
324,darhan,49.4867,105.9228,8.28,46,99,4.16,MN,1684979889
325,shanhaiguan,39.9988,119.7564,17.47,65,100,7.95,CN,1684979890
326,acarau,-2.8856,-40.12,25.34,84,99,4.7,BR,1684979890
327,neryungri,56.6709,124.6491,10.15,50,35,2.77,RU,1684979816
328,antsiranana,-12.2787,49.2917,22.26,89,4,1.7,MG,1684979890
329,itaituba,-4.2761,-55.9836,26.28,76,100,0.36,BR,1684979891
330,akureyri,65.6835,-18.0878,5.96,52,75,5.66,IS,1684979891
331,kodinsk,58.6881,99.1844,6.78,63,93,4.73,RU,1684979891
332,naze,28.3667,129.4833,23.51,67,49,4.43,JP,1684979892
333,kimbe,-5.5502,150.1429,24.95,95,100,2.1,PG,1684979892
334,lospalos,-8.5186,127.0025,26.06,62,67,5.15,TL,1684979892
335,shillong,25.5689,91.8831,20.76,62,2,0.41,IN,1684979893
336,carutapera,-1.195,-46.02,24.57,93,95,2.72,BR,1684979893
337,mana,5.6592,-53.7767,25.81,92,100,2.4,GF,1684979893
338,ta`u,-14.2336,-169.5144,26.88,78,82,1.44,AS,1684979893
339,kawm umbu,24.4767,32.9463,29.47,15,74,4.5,EG,1684979893
340,galvez,-32.0293,-61.221,20.25,94,65,0.94,AR,1684979894
341,el quebrachal,-25.2833,-64.0667,23.02,83,98,3.26,AR,1684979894
342,gereshk,31.8209,64.5701,27.41,16,0,11.83,AF,1684979894
343,mount pearl,47.5166,-52.7813,6.19,85,0,5.14,CA,1684979894
344,mersa matruh,31.3525,27.2453,19.11,77,40,2.06,EG,1684979895
345,opuwo,-18.0607,13.84,16.32,49,12,2.2,NA,1684979895
346,boiling springs,35.0465,-81.9818,19.06,56,0,0.0,US,1684979861
347,korla,41.7597,86.1469,21.69,18,21,4.88,CN,1684979895
348,iacu,-12.7672,-40.2117,22.95,74,100,0.69,BR,1684979702
349,pokrovka,42.3414,78.0056,7.78,72,69,0.6,KG,1684979896
350,nadym,65.5333,72.5167,8.63,59,0,5.04,RU,1684979896
351,makokou,0.5738,12.8642,21.49,97,75,0.95,GA,1684979896
352,howard springs,-12.497,131.047,28.79,35,10,2.69,AU,1684979896
353,lodwar,3.1191,35.5973,27.7,49,3,7.5,KE,1684979897
354,bandarbeyla,9.4942,50.8122,27.25,78,100,8.66,SO,1684979897
355,kelso,46.1468,-122.9084,23.0,51,0,4.12,US,1684979897
356,egilsstadir,65.2653,-14.3948,4.95,60,75,5.66,IS,1684979898
357,rawlins,41.7911,-107.2387,16.94,48,75,8.23,US,1684979898
358,la passe,45.5549,-0.8967,14.13,78,62,6.42,FR,1684979898
359,bogale,16.2833,95.4,32.41,49,11,5.44,MM,1684979898
360,meadow lakes,61.6247,-149.6011,15.99,50,40,5.14,US,1684979898
361,pemangkat,1.1667,108.9667,29.5,69,14,2.88,ID,1684979899
362,sierra grande,-41.606,-65.3557,11.05,31,0,3.58,AR,1684979899
